customer_id,acquisition_month,cancelled_month,sex
0001146a-c9ad-464f-8644-4228d8a5fd5e,2020-01-01,2020-02-01,female
0003c75d-54a2-4939-8ae3-09f55cf3a18c,2020-01-01,2020-02-01,female
00057ffc-f5cb-4ba6-a6a2-3f9e95d19306,2020-01-01,2020-02-01,female
000dbc0c-3f8e-45c0-bfba-dbce6a529499,2020-01-01,2020-02-01,female
00118706-f2e7-4ff9-83bc-4c654c21eb58,2020-01-01,2020-02-01,female
0011bcb4-a1bd-4a2a-ae0b-d620ce0a0f5d,2020-01-01,2020-02-01,female
00143264-433e-41ea-aa1d-6ca5bf785060,2020-01-01,2020-02-01,female
00157e4e-d922-48fb-861e-943444c4e111,2020-01-01,2020-02-01,female
001abf0a-076d-4937-b7c9-fb12e0cd37ad,2020-01-01,2020-02-01,female
001b4917-8f70-4196-950e-15d1d995bfde,2020-01-01,2020-02-01,female
001cf08e-9438-4eed-83cb-1d4bca254496,2020-01-01,2020-02-01,female
00208910-0596-45bb-a8b7-3e6935868942,2020-01-01,2020-02-01,female
0020a588-e0bd-4848-b123-a88d1940a334,2020-01-01,2020-02-01,female
002217ac-1f9a-4ad8-97ee-f7e587f687ed,2020-01-01,2020-02-01,female
0023a54e-3a57-42fc-b598-2b6ff31cc4c6,2020-01-01,2020-02-01,female
00309f65-5f92-4fff-a55d-967d4979abb7,2020-01-01,2020-02-01,female
0031b178-02ad-4234-97f4-4883c5631daa,2020-01-01,2020-02-01,female
00342156-85a9-4021-aa49-290df3415537,2020-01-01,2020-02-01,female
003580a5-ed85-407f-b852-86555c49c41a,2020-01-01,2020-02-01,female
0037ed82-1c62-4ac5-ad0a-698ec61f8437,2020-01-01,2020-02-01,female
00382438-46f3-4656-badf-142dae8eb5fc,2020-01-01,2020-02-01,female
00386440-09e9-4a3b-a4c5-61bba6429c9a,2020-01-01,2020-02-01,female
003895b5-29c5-4bf6-ac14-7260d8cd6643,2020-01-01,2020-02-01,female
003ba067-f2dd-49c5-a808-9ec10d46c903,2020-01-01,2020-02-01,female
003c0725-2c31-4b99-adff-34a92e5b2f2b,2020-01-01,2020-02-01,female
00410081-79f9-41ca-be8c-1a442a015406,2020-01-01,2020-02-01,female
004120bd-fd61-49de-9a93-95f0c0e584ab,2020-01-01,2020-02-01,female
004312bb-63b1-4c6e-9880-2dca0c751aa9,2020-01-01,2020-02-01,female
0044d61b-e8ae-4e1e-a74a-96de743d78bf,2020-01-01,2020-02-01,female
00470fbb-2c96-4c9c-be87-450ac4d3ca47,2020-01-01,2020-02-01,female
00490ae5-aeaf-415c-b11a-3df7f7cfc3a2,2020-01-01,2020-02-01,female
004b2666-a713-40cf-8341-6873954550e0,2020-01-01,2020-02-01,female
004fdaae-2327-453a-a803-3be64637d3f9,2020-01-01,2020-02-01,female
0050685a-8951-4257-b194-e51513aba7a6,2020-01-01,2020-02-01,female
0052af19-7473-4604-a65a-c5c8a03a56f6,2020-01-01,2020-02-01,female
0053c834-dd25-403b-998c-9b4712f96ff7,2020-01-01,2020-02-01,female
0055a986-fd75-4e42-b59d-3148f85793e7,2020-01-01,2020-02-01,female
0056a41e-76a6-4932-aee7-38f787f1b654,2020-01-01,2020-02-01,female
005a3aa9-0fa6-45e5-9de0-01ec075a00a1,2020-01-01,2020-02-01,female
005fd0a5-5a98-480d-aeb8-36229fb0905d,2020-01-01,2020-02-01,female
00622230-6996-41b4-9606-9ce308a9082c,2020-01-01,2020-02-01,female
0062dbe1-3fc5-41a1-a945-63d23b5b00e2,2020-01-01,2020-02-01,female
00654f98-acf8-4b2f-9f91-4538d096fd79,2020-01-01,2020-02-01,female
006581d0-6577-4d37-81f8-c6fa8b119d09,2020-01-01,2020-02-01,female
006668a8-ab66-439f-94fd-b32e70fd741a,2020-01-01,2020-02-01,female
00679809-b9b2-4b78-86fb-dcfb82c53625,2020-01-01,2020-02-01,female
006c2ce7-00d9-4e71-96ec-1544fd1f3782,2020-01-01,2020-02-01,female
007180a4-5a80-445f-93f1-a2a1676f8037,2020-01-01,2020-02-01,female
0076743e-7354-4415-b87e-bc2f60a30191,2020-01-01,2020-02-01,female
0079da4d-8dd7-4e5e-8e08-f2f412502482,2020-01-01,2020-02-01,female
007e9ad1-debf-486d-9b3f-632ab9490619,2020-01-01,2020-02-01,female
0080a13d-b98c-4ef8-bdc3-edf31c26f8ba,2020-01-01,2020-02-01,female
008b0880-d7d4-4c20-b1a2-6a2152e65670,2020-01-01,2020-02-01,female
008e3e35-d937-426a-af6f-3af6cd265795,2020-01-01,2020-02-01,female
008ec7b3-c9d9-4bef-b5cb-67cdc5105a1d,2020-01-01,2020-02-01,female
008ee89a-fbb2-4033-a429-bab954cef539,2020-01-01,2020-02-01,female
0094fa28-b64b-43bd-b276-f0f1138e89f1,2020-01-01,2020-02-01,female
00950758-ee6b-47b2-a00a-0a50a8656a5d,2020-01-01,2020-02-01,female
0097427f-d4cc-4fe1-b0ca-cb77cb834c67,2020-01-01,2020-02-01,female
009aa0ab-b726-40c9-a0f2-9f33dc5f9c11,2020-01-01,2020-02-01,female
009bf899-557e-46a6-855d-5d8c32058988,2020-01-01,2020-02-01,female
00a0981a-d9d9-46e0-840d-da4753dd21cc,2020-01-01,2020-02-01,female
00a0f744-f877-4372-acd9-301b66c3fea8,2020-01-01,2020-02-01,female
00a3a2b7-8a83-4e6a-ae9a-5b5633d52f34,2020-01-01,2020-02-01,female
00a694ed-4e59-4a84-b9ff-3288f490cc9b,2020-01-01,2020-02-01,female
00a73f0b-6cad-4e0a-9a55-429d6d0eb2ac,2020-01-01,2020-02-01,female
00ab88b8-d2e7-44b1-9b26-8666a6e5c433,2020-01-01,2020-02-01,female
00b2eed5-3411-425f-a656-10418a3a0506,2020-01-01,2020-02-01,female
00b39567-5200-4553-9c25-1ccdcd9d1d2d,2020-01-01,2020-02-01,female
00b3f4a0-9db4-4b22-a132-e35815eb68f3,2020-01-01,2020-02-01,female
00b74e58-3224-4394-a44e-66ed56ad27fe,2020-01-01,2020-02-01,female
00bcbba3-6fc9-425a-ac82-3a9744b0b177,2020-01-01,2020-02-01,female
00bda302-ffd6-435b-bb52-abac58ebfd4e,2020-01-01,2020-02-01,female
00c3865e-fcf7-459e-8eb4-d0b237139435,2020-01-01,2020-02-01,female
00c4d74d-0bb6-45d0-a2de-0d50a67d3090,2020-01-01,2020-02-01,female
00c628bd-910a-4436-96a0-46c3c6571e38,2020-01-01,2020-02-01,female
00c6db0f-070f-4996-9b4c-7fa3598a8d0d,2020-01-01,2020-02-01,female
00cbeac2-a1e9-42fc-9b6e-f78326a64fd1,2020-01-01,2020-02-01,female
00cd2759-0a1b-4b2f-b4fb-52d41e7dac28,2020-01-01,2020-02-01,female
00d5d6ae-0ff4-4b29-98b8-2ae2a4a371ed,2020-01-01,2020-02-01,female
00d8dd48-2569-420e-b2db-320e86db3cfa,2020-01-01,2020-02-01,female
00d9c4b7-79e5-457d-b1a1-11882b5f0aaf,2020-01-01,2020-02-01,female
00db1860-6bff-41ec-a090-6d0f80621289,2020-01-01,2020-02-01,female
00dc61df-0448-4609-9764-60846ba2b98e,2020-01-01,2020-02-01,female
00dc7ffc-e644-46b4-b47b-bb03296b4a0e,2020-01-01,2020-02-01,female
00dd017e-f299-4a6f-a4ad-fec66cc48996,2020-01-01,2020-02-01,female
00dd8e0d-5d3c-468b-a315-395a13b60420,2020-01-01,2020-02-01,female
00e25f1b-e9b6-4eb1-888c-0ac3a807b294,2020-01-01,2020-02-01,female
00e3f917-49b2-48fe-9be0-c29286b318e0,2020-01-01,2020-02-01,female
00e5bdfb-a146-4d95-b4fe-53ccd26231bb,2020-01-01,2020-02-01,female
00e6da30-7d2d-45e3-8870-fad559cac4cb,2020-01-01,2020-02-01,female
00e9485a-7a49-4dd0-8cc6-f193162b7d5d,2020-01-01,2020-02-01,female
00e9d002-0c1b-4141-9a7d-0a9a60f54f93,2020-01-01,2020-02-01,male
00ec806c-2014-405d-862f-35207c8a7323,2020-01-01,2020-02-01,female
00ee8a09-ed30-461b-ab01-ea97cdac3944,2020-01-01,2020-02-01,female
00f5f50e-a51b-4e39-ae36-7bbe77ddca86,2020-01-01,2020-02-01,female
00f8c127-a905-4674-8d9e-2b57c17c45f9,2020-01-01,2020-02-01,female
01004f81-0574-407f-9a46-f011aa678888,2020-01-01,2020-02-01,female
0100551f-2116-44e7-aab1-847284af40e9,2020-01-01,2020-02-01,female
01007ea3-1032-41bc-a30a-15c80ddb2b32,2020-01-01,2020-02-01,female
0102247c-780f-455c-93b7-6fcd8f79903f,2020-01-01,2020-02-01,female
010231a1-5794-4a71-91dd-4ff8c436d3a2,2020-01-01,2020-02-01,female
01096fc6-04e7-4ead-8be8-5d18bcc53774,2020-01-01,2020-02-01,female
